name,symbol,date,open,high,low,close,volume,changePercent,vwap
American Airlines Group,AAL,2022-03-10,13.82,14.44,13.46,14.2,55610607.0,2.75,14.03333
American Airlines Group,AAL,2022-03-09,14.44,14.75,14.05,14.3,88890117.0,-0.97,14.36667
American Airlines Group,AAL,2022-03-08,13.035,14.265,12.445,13.51,88068957.0,3.644,13.40667
American Airlines Group,AAL,2022-03-07,14.32,14.615,12.77,12.84,87011207.0,-10.335,13.40833
American Airlines Group,AAL,2022-03-04,15.27,15.4799,14.42,14.59,76389350.0,-4.453,14.82997
American Airlines Group,AAL,2022-03-03,16.63,16.75,15.61,15.71,46980115.0,-5.532,16.02333
American Airlines Group,AAL,2022-03-02,16.5,16.92,16.2903,16.37,43502222.0,-0.788,16.52677
American Airlines Group,AAL,2022-03-01,16.97,17.07,16.08,16.29,49857933.0,-4.007,16.48
American Airlines Group,AAL,2022-02-28,17.04,17.425,16.5533,17.25,51468141.0,1.232,17.0761
American Airlines Group,AAL,2022-02-25,17.16,17.73,16.99,17.46,43877274.0,1.748,17.39333
American Airlines Group,AAL,2022-02-24,15.66,17.0,15.48,16.96,56510708.0,8.301,16.48
American Airlines Group,AAL,2022-02-23,17.44,17.76,16.61,16.64,35107211.0,-4.587,17.00333
American Airlines Group,AAL,2022-02-22,17.44,17.95,17.29,17.43,32374589.0,-0.057,17.55667
American Airlines Group,AAL,2022-02-18,18.22,18.41,17.75,17.87,30385226.0,-1.921,18.01
American Airlines Group,AAL,2022-02-17,18.535,18.67,18.03,18.22,29817724.0,-1.699,18.30667
American Airlines Group,AAL,2022-02-16,18.565,19.11,18.5,18.82,30370382.0,1.374,18.81
American Airlines Group,AAL,2022-02-15,18.315,18.905,18.12,18.84,46532850.0,2.867,18.62167
American Airlines Group,AAL,2022-02-14,17.85,18.305,17.35,17.43,37325438.0,-2.353,17.695
American Airlines Group,AAL,2022-02-11,18.59,18.9771,17.44,17.61,49661787.0,-5.272,18.00903
American Airlines Group,AAL,2022-02-10,18.42,19.08,18.35,18.71,36298347.0,1.574,18.71333
American Airlines Group,AAL,2022-02-09,18.45,18.97,18.35,18.76,42324565.0,1.68,18.69333
American Airlines Group,AAL,2022-02-08,17.4,18.28,17.21,18.26,46706390.0,4.943,17.91667
American Airlines Group,AAL,2022-02-07,16.69,17.505,16.645,17.28,52930013.0,3.535,17.14333
American Airlines Group,AAL,2022-02-04,16.54,16.565,16.04,16.45,37441302.0,-0.544,16.35167
American Airlines Group,AAL,2022-02-03,16.65,17.175,16.545,16.57,30486276.0,-0.48,16.76333
American Airlines Group,AAL,2022-02-02,16.88,17.15,16.49,16.96,37807181.0,0.474,16.86667
American Airlines Group,AAL,2022-02-01,16.56,16.965,16.4114,16.83,30594258.0,1.63,16.73547
American Airlines Group,AAL,2022-01-31,15.55,16.47,15.4,16.47,35433217.0,5.916,16.11333
American Airlines Group,AAL,2022-01-28,15.67,15.78,14.905,15.64,51615285.0,-0.191,15.44167
American Airlines Group,AAL,2022-01-27,16.425,16.84,15.625,15.78,43146160.0,-3.927,16.08167
American Airlines Group,AAL,2022-01-26,16.7,16.97,16.135,16.24,39048770.0,-2.754,16.44833
American Airlines Group,AAL,2022-01-25,16.05,16.54,15.89,16.46,42365836.0,2.555,16.29667
American Airlines Group,AAL,2022-01-24,15.85,16.44,15.38,16.41,59274392.0,3.533,16.07667
American Airlines Group,AAL,2022-01-21,16.77,16.78,16.09,16.3,51799747.0,-2.803,16.39
American Airlines Group,AAL,2022-01-20,17.63,17.7326,16.6829,16.76,54580623.0,-4.935,17.0585
American Airlines Group,AAL,2022-01-19,17.9,17.91,17.29,17.31,35149814.0,-3.296,17.50333
