name,symbol,date,open,high,low,close,volume,changePercent,vwap
Advance Auto Parts,AAP,2022-03-10,202.02,205.39,201.0,204.92,609973.0,1.436,203.77
Advance Auto Parts,AAP,2022-03-09,205.49,207.11,202.43,204.88,764855.0,-0.297,204.80667
Advance Auto Parts,AAP,2022-03-08,202.98,205.2,198.26,200.58,954648.0,-1.182,201.34667
Advance Auto Parts,AAP,2022-03-07,206.38,207.06,200.49,201.31,1166886.0,-2.457,202.95333
Advance Auto Parts,AAP,2022-03-04,205.67,208.1033,202.48,206.62,755224.0,0.462,205.73443
Advance Auto Parts,AAP,2022-03-03,209.75,210.57,205.69,208.27,1063620.0,-0.706,208.17667
Advance Auto Parts,AAP,2022-03-02,203.35,210.75,201.35,209.07,1091030.0,2.813,207.05667
Advance Auto Parts,AAP,2022-03-01,204.23,209.65,198.54,201.17,1051207.0,-1.498,203.12
Advance Auto Parts,AAP,2022-02-28,202.0,204.82,200.03,204.48,1040472.0,1.228,203.11
Advance Auto Parts,AAP,2022-02-25,201.9,206.17,200.01,205.57,681453.0,1.818,203.91667
Advance Auto Parts,AAP,2022-02-24,192.13,202.04,190.79,200.81,1175790.0,4.518,197.88
Advance Auto Parts,AAP,2022-02-23,207.8,208.1,195.75,196.8,1487041.0,-5.294,200.21667
Advance Auto Parts,AAP,2022-02-22,217.9,217.95,204.97,206.76,1313397.0,-5.112,209.89333
Advance Auto Parts,AAP,2022-02-18,219.84,221.5,217.08,218.8,933533.0,-0.473,219.12667
Advance Auto Parts,AAP,2022-02-17,222.37,222.9566,219.81,220.41,983950.0,-0.881,221.05887
Advance Auto Parts,AAP,2022-02-16,221.27,225.78,218.875,222.39,1163761.0,0.506,222.34833
Advance Auto Parts,AAP,2022-02-15,216.38,225.25,214.4,222.6,2157491.0,2.875,220.75
Advance Auto Parts,AAP,2022-02-14,222.99,225.84,220.08,224.28,1448211.0,0.579,223.4
Advance Auto Parts,AAP,2022-02-11,224.58,226.88,221.09,222.94,993050.0,-0.73,223.63667
Advance Auto Parts,AAP,2022-02-10,223.12,229.24,221.36,222.73,1861550.0,-0.175,224.44333
Advance Auto Parts,AAP,2022-02-09,231.92,234.23,230.42,232.18,432928.0,0.112,232.27667
Advance Auto Parts,AAP,2022-02-08,226.7,231.56,226.06,230.2,451215.0,1.544,229.27333
Advance Auto Parts,AAP,2022-02-07,228.44,228.97,223.93,225.94,635996.0,-1.094,226.28
Advance Auto Parts,AAP,2022-02-04,231.53,231.63,223.34,226.99,689166.0,-1.961,227.32
Advance Auto Parts,AAP,2022-02-03,235.99,235.99,232.17,232.49,521567.0,-1.483,233.55
Advance Auto Parts,AAP,2022-02-02,235.45,237.39,232.41,236.68,647218.0,0.522,235.49333
Advance Auto Parts,AAP,2022-02-01,231.11,235.35,229.44,234.8,440501.0,1.597,233.19667
Advance Auto Parts,AAP,2022-01-31,226.73,231.915,226.0,231.51,796012.0,2.108,229.80833
Advance Auto Parts,AAP,2022-01-28,223.77,228.35,222.31,228.22,533743.0,1.989,226.29333
Advance Auto Parts,AAP,2022-01-27,227.66,229.68,224.94,225.11,531246.0,-1.12,226.57667
Advance Auto Parts,AAP,2022-01-26,232.19,232.295,223.79,225.12,645188.0,-3.045,227.06833
Advance Auto Parts,AAP,2022-01-25,229.68,232.5,226.25,230.18,520394.0,0.218,229.64333
Advance Auto Parts,AAP,2022-01-24,221.48,233.24,221.48,232.81,751583.0,5.116,229.17667
Advance Auto Parts,AAP,2022-01-21,229.3,230.395,224.94,226.15,660550.0,-1.374,227.16167
Advance Auto Parts,AAP,2022-01-20,236.27,237.53,228.5854,229.33,524637.0,-2.937,231.81513
Advance Auto Parts,AAP,2022-01-19,239.78,242.96,234.12,234.34,573412.0,-2.269,237.14
Advance Auto Parts,AAP,2022-01-18,238.17,239.421,234.37,237.91,1077363.0,-0.109,237.23367
Advance Auto Parts,AAP,2022-01-14,238.98,241.92,237.5245,239.6,386231.0,0.259,239.6815
Advance Auto Parts,AAP,2022-01-13,241.16,244.2,240.32,241.32,626326.0,0.066,241.94667
Advance Auto Parts,AAP,2022-01-12,233.56,238.035,233.495,237.53,517238.0,1.7,236.35333
Advance Auto Parts,AAP,2022-01-11,234.64,234.81,230.572,232.01,629568.0,-1.121,232.464
Advance Auto Parts,AAP,2022-01-10,237.0,237.0,231.26,234.13,591126.0,-1.211,234.13
Advance Auto Parts,AAP,2022-01-07,239.96,242.1536,237.32,238.09,541838.0,-0.779,239.18787
Advance Auto Parts,AAP,2022-01-06,237.85,242.36,236.56,241.65,524350.0,1.598,240.19
Advance Auto Parts,AAP,2022-01-05,237.45,244.55,236.35,236.45,683296.0,-0.421,239.11667
Advance Auto Parts,AAP,2022-01-04,236.79,240.02,236.515,237.05,736972.0,0.11,237.86167
Advance Auto Parts,AAP,2022-01-03,240.64,242.145,234.87,236.78,810393.0,-1.604,237.87667
Advance Auto Parts,AAP,2021-12-31,237.0,240.967,235.215,239.88,676095.0,1.215,238.68733
Advance Auto Parts,AAP,2021-12-30,241.14,241.98,237.47,237.52,569159.0,-1.501,238.99
Advance Auto Parts,AAP,2021-12-29,238.94,242.2,238.365,241.03,459124.0,0.875,240.53167
Advance Auto Parts,AAP,2021-12-28,236.03,238.99,234.9,238.13,601213.0,0.89,237.34
Advance Auto Parts,AAP,2021-12-27,233.37,236.71,232.21,236.5,347580.0,1.341,235.14
Advance Auto Parts,AAP,2021-12-23,234.0,234.41,232.0,232.13,492800.0,-0.799,232.84667
Advance Auto Parts,AAP,2021-12-22,229.9,233.1,228.95,232.79,270107.0,1.257,231.61333
Advance Auto Parts,AAP,2021-12-21,229.89,231.2,227.78,229.57,498315.0,-0.139,229.51667
Advance Auto Parts,AAP,2021-12-20,230.28,230.28,224.22,228.39,643063.0,-0.821,227.63
Advance Auto Parts,AAP,2021-12-17,237.92,237.92,231.755,232.82,1546646.0,-2.144,234.165
Advance Auto Parts,AAP,2021-12-16,239.729996,242.289993,236.639999,239.160004,820100.0,-0.238,239.36333
Advance Auto Parts,AAP,2021-12-15,235.389999,239.649994,234.559998,239.139999,535700.0,1.593,237.78333
Advance Auto Parts,AAP,2021-12-14,234.169998,236.309998,233.149994,235.389999,791600.0,0.521,234.95
Advance Auto Parts,AAP,2021-12-13,239.75,240.0,232.979996,234.119995,913400.0,-2.348,235.7
Advance Auto Parts,AAP,2021-12-10,235.419998,240.240005,234.839996,240.039993,716800.0,1.962,238.37333
Advance Auto Parts,AAP,2021-12-09,234.429993,236.490005,232.75,234.619995,551000.0,0.081,234.62
Advance Auto Parts,AAP,2021-12-08,234.679993,235.589996,229.990005,234.029999,665600.0,-0.277,233.20333
Advance Auto Parts,AAP,2021-12-07,231.880005,236.75,231.190002,234.949997,762000.0,1.324,234.29667
Advance Auto Parts,AAP,2021-12-06,229.990005,233.339996,229.0,230.020004,657900.0,0.013,230.78667
Advance Auto Parts,AAP,2021-12-03,229.169998,231.690002,225.320007,226.860001,543800.0,-1.008,227.95667
Advance Auto Parts,AAP,2021-12-02,220.270004,230.0,219.119995,228.759995,838300.0,3.854,225.96
Advance Auto Parts,AAP,2021-12-01,223.639999,226.979996,218.220001,218.229996,649600.0,-2.419,221.14333
Advance Auto Parts,AAP,2021-11-30,225.600006,228.169998,220.0,220.720001,918000.0,-2.163,222.96333
Advance Auto Parts,AAP,2021-11-29,228.360001,230.190002,226.369995,227.270004,376800.0,-0.477,227.94333
Advance Auto Parts,AAP,2021-11-26,229.419998,229.570007,225.070007,226.729996,334100.0,-1.173,227.12334
Advance Auto Parts,AAP,2021-11-24,233.600006,234.559998,232.160004,233.369995,361000.0,-0.098,233.36333
Advance Auto Parts,AAP,2021-11-23,232.509995,235.990005,230.309998,235.770004,405300.0,1.402,234.02334
Advance Auto Parts,AAP,2021-11-22,231.210007,233.889999,229.649994,231.830002,544900.0,0.268,231.79
Advance Auto Parts,AAP,2021-11-19,231.669998,231.880005,228.270004,230.0,574400.0,-0.721,230.05
Advance Auto Parts,AAP,2021-11-18,232.550003,233.169998,229.0,231.919998,663600.0,-0.271,231.36333
Advance Auto Parts,AAP,2021-11-17,237.300003,239.720001,231.389999,232.550003,771300.0,-2.002,234.55333
Advance Auto Parts,AAP,2021-11-16,238.779999,239.910004,230.270004,235.690002,1585200.0,-1.294,235.29
Advance Auto Parts,AAP,2021-11-15,240.020004,243.050003,239.5,241.910004,1085400.0,0.787,241.48667
Advance Auto Parts,AAP,2021-11-12,239.389999,240.089996,237.199997,239.039993,775700.0,-0.146,238.77666
Advance Auto Parts,AAP,2021-11-11,234.330002,240.960007,234.330002,238.449997,771200.0,1.758,237.91334
Advance Auto Parts,AAP,2021-11-10,233.330002,236.050003,232.470001,234.770004,457700.0,0.617,234.43
